josé mourinho	mourinho
662231146093260800	Clube dos Pensadores - José Mourinho https://t.co/c3fIOBYuSr	19663485
662019635248766977	Lá continua o estádio a cantar por José Mourinho	17827029
661931330695892993	Mónaco desmente interesse em José Mourinho https://t.co/dslPCyVxuh	73249951
666605966302031872	José Mourinho prepara revolução no Chelsea https://t.co/e7O4uz7rhL	86233091
667303433070751744	PONELEIRO 2015 #10 – JOSÉ MOURINHO https://t.co/ptOnOfRJw4	84918596
440187165025533952	RT @filippomricci: 'Jose Mourinho, Jose Mourinho', chant of the Real Madrid Ultras waiting to leave the Calderon.	19301487
441630029169299456	José Mourinho, comentador no Mundial 2014  A empresa norte-americana Yahoo, contratou José Mourinho para ser o... http://t.co/TmLV2bGN5B	21486073
476048449042137088	JOGO SOLIDÁRIO COM JOSÉ MOURINHO, ROBBIE WILLIAMS E GORDON RAMSAY   José Mourinho treinou uma equipa treinada... http://t.co/LyZDyB5VET	21486073
512938340283584512	José Mourinho - Jorge Jesus - José Mourinho responde a Jesus: «Ele lê Dumas, eu leio a... http://t.co/XLJGIrCFbS	25199097
512978731409739776	José Mourinho ataca Jorge Jesus: “Procuro não agredir a pobre gramática”: Numa entrevista á TVI José Mourinho ... http://t.co/FZWnF00qFZ	82696837
512721081329676288	José Mourinho - Jorge Jesus - José Mourinho responde a Jesus: «Ele lê Dumas, eu leio a... http://t.co/SS3v3sAkqG	19855615
512741934247333888	José Mourinho - Jorge Jesus - José Mourinho responde a Jesus: «Ele lê Dumas, eu leio a... http://t.co/Tfnbk75SLm	315249825
523409801754476544	“José Mourinho ataca clubes" título quando ele for seleccionador @cmjornal: José Mourinho ataca seleções http://t.co/rgX06GaXaS	25842391
527015298851827712	José #Mourinho é o único português candidato a #treinadordoano: O português José Mourinho é o único… http://t.co/fOWGtqbmi8 #dnoticias	22905057
538384688243408896	José #Mourinho nega possibilidade de Chelsea contratar #Messi: O técnico português José Mourinho negou… http://t.co/9j1H9rMqmZ #dnoticias	22905057
577421861795033088	RT @__arsenal_news_: February 22nd: Jose Mourinho: "I don't understand why Arsenal are not challenging us"  Today: Jose Mourinho: "Arsenal …	113032252
565783394941140992	RT @bifana_bifana: Malcolm Allison influenced the young José Mourinho. The *mature* José Mourinho appears to be copying Alex Ferguson.  htt…	949565820
565788608507166720	RT @bifana_bifana: Malcolm Allison influenced the young José Mourinho. The *mature* José Mourinho appears to be copying Alex Ferguson.  htt…	2319915401
565777714612023297	Malcolm Allison influenced the young José Mourinho. The *mature* José Mourinho appears to be copying Alex Ferguson.  http://t.co/rL0j27YSdn	148813738
565780933434146816	RT @bifana_bifana: Malcolm Allison influenced the young José Mourinho. The *mature* José Mourinho appears to be copying Alex Ferguson.  htt…	454086392
565815598819835904	RT @bifana_bifana: Malcolm Allison influenced the young José Mourinho. The *mature* José Mourinho appears to be copying Alex Ferguson.  htt…	552568183
588004120965054464	José Mourinho, José Mourinho (não podiam cantar o nome de Lopetegui porque Guardiola gosta muito dele). https://t.co/xapUIirCrU	14166909
629365287947751429	|VIDEO: Caras Do Poder - José Mourinho || Reportagem TVI #26 Caras Do Poder - José Mourinho || Reportagem TVI #26.... http://t.co/aSqsBTvGLk|	21294212
649962933275889669	José #Mourinho atravessa "pior momento da carreira, com os piores resultados":  José Mourinho admitiu… http://t.co/JDIZOzwyex #dnoticias	22905057
653869972339363845	Twittersphere Slams Jose Mourinho: Jose Mourinho can’t handle the heat anymore hence the need to disguise hims... http://t.co/xEMpdKiD5A	95201847
654980408946356224	VIDEO: English subtitles: an interview with José Mourinho Recently, FPF’s 360 Magazine spoke with José Mourinho,... http://t.co/ALc6qlCWgl	21294212
656375414181335041	José #Mourinho entre os candidatos a #treinadordoano: O português José Mourinho é um dos dez candidatos… https://t.co/nNHUUSJawE #dnoticias	22905057
424936780484603904	RT @SamWallaceIndy: MUFC fans sing: 'Jose Mourinho, you wanted the job'  Mourinho waves back at them	101664884
424936905269346304	RT @SamWallaceIndy: MUFC fans sing: 'Jose Mourinho, you wanted the job'  Mourinho waves back at them	14856333
424937841940889600	RT @SamWallaceIndy: MUFC fans sing: 'Jose Mourinho, you wanted the job'  Mourinho waves back at them	461554847
