jeronimo_sousa,2015-11-07,del,antonio,aqui,agora,anos,lisboa,costa,tudo,ano,benfica
jorge_mendes,2014-01-29,porto,nada,portugal,fcportoworld,pinto,bem,carvalho,hoje,passos,es
meo,2015-03-30,el,passos,vez,en,la,sobre,paulo,presidente,jose,antonio
jose_socrates,2014-08-17,vitoria,aqui,agora,rui,jose,dizer,carvalho,doce,ano,costa
sic,2014-12-06,pais,grande,desporto,sousa,sempre,anos,en,novo,benfica,porque
lionel_messi,2015-09-05,ainda,carregabenfica,rui,jornal,fazer,agora,tao,governo,cristiano,portugal
jorge_mendes,2014-06-21,carvalho,ainda,carregabenfica,porque,jesus,bento,futebol,portas,mundo,melhor
jose_mourinho,2014-08-24,rebelo,pinto,presidente,tudo,ir,la,amp,dia,benfica,rui
alentejo,2014-02-25,bem,ir,todos,tudo,diz,marcelo,cristiano,sempre,antonio,lisboa
madrid,2014-08-25,benfica,lisboa,fcportoworld,sporting,espirito,passos,silva,real,tao,costa
joao_moutinho,2014-04-30,jesus,dia,anos,porto,presidente,dizer,novo,marcelo,porque,contra
jose_socrates,2014-12-28,vou,futebol,grande,carvalho,en,anos,fcportoworld,lisboa,amp,vitoria
observador,2015-02-27,catarina,ver,dizer,vez,en,governo,todos,fcportoworld,espirito,portugal
vodafone,2014-03-05,hoje,rui,video,passos,cristiano,paulo,catarina,grande,fcporto,sporting
jorge_jesus,2015-09-13,contra,jesus,mundo,bruno,ano,en,joao,el,nada,passos
jorge_mendes,2014-08-18,vez,contra,doce,cristiano,del,jose,ainda,quer,amp,carregabenfica
antonio_costa,2014-09-12,novo,bruno,vez,tao,ir,del,sousa,sempre,anos,paulo
bruno_de_carvalho,2014-04-19,jeronimo,marcelo,dia,bem,la,doce,dizer,novo,sempre,fazer
continente,2014-10-12,antonio,anos,pingo,jose,jogo,ronaldo,catarina,noticias,joao,passos
zara,2014-08-31,bento,melhor,desporto,grande,ronaldo,el,porto,fazer,sousa,la
paris,2015-01-17,diz,video,antonio,contra,vai,coelho,tudo,aqui,todos,vou
madrid,2014-04-03,es,anos,el,del,doce,tao,noticias,martins,coelho,vou
inglaterra,2015-04-09,ir,agora,desporto,carregabenfica,vai,doce,martins,ver,tao,sempre
lionel_messi,2014-12-30,vou,la,jesus,fcportoworld,catarina,lisboa,todos,tudo,presidente,tao
meo,2014-12-16,vitoria,santo,vez,cristiano,carvalho,la,carregabenfica,antonio,jose,espirito
donald_trump,2015-10-25,antonio,jeronimo,portas,futebol,dizer,portugal,dia,ir,diz,tao
observador,2015-09-01,ainda,vitoria,presidente,aqui,jesus,el,silva,santo,desporto,quer
edp,2014-12-03,vez,portugal,ronaldo,pais,jogo,melhor,el,porto,vitoria,sempre
ruben_neves,2015-11-05,en,fazer,jogo,rebelo,ir,la,ver,porque,agora,fcporto
alemanha,2015-10-17,contra,espirito,en,pingo,paulo,doce,aqui,amp,mendes,carvalho
sporting,2015-09-18,es,noticias,cristiano,sobre,ronaldo,jornal,real,antonio,vou,agora
tvi,2015-02-02,portas,futebol,pinto,real,tao,paulo,noticias,la,video,porque
alemanha,2015-10-04,agora,futebol,anos,dia,cristiano,aqui,antonio,dizer,coelho,en
madrid,2015-11-17,governo,marcelo,ano,vez,portas,cristiano,benfica,silva,fcportoworld,todos
paulo_portas,2015-06-05,video,agora,el,anos,vou,costa,lisboa,vitoria,portugal,porque
madrid,2014-09-22,martins,contra,bruno,novo,anos,grande,dia,es,futebol,doce
nos,2014-05-06,diario,video,costa,la,santo,todos,silva,presidente,hoje,anos
paulo_portas,2014-11-26,carregabenfica,rebelo,martins,real,jogo,antonio,doce,rui,sporting,mendes
jorge_jesus,2015-04-22,bem,martins,tudo,novo,nada,aqui,mendes,antonio,dizer,ainda
galp,2014-10-07,portas,bruno,pode,santo,mundo,rebelo,diz,antonio,la,sempre
ruben_neves,2015-08-02,carvalho,novo,ir,presidente,tao,sousa,jogo,quer,benfica,bruno
partido_socialista,2014-01-09,fcportoworld,doce,coelho,portas,melhor,joao,carregabenfica,portugal,del,la
barack_obama,2014-02-13,vitoria,jorge,ir,governo,portas,carvalho,anos,del,todos,futebol
jorge_jesus,2014-06-18,jose,el,contra,sporting,lisboa,noticias,rui,espirito,ainda,todos
benfica,2014-07-03,jesus,pingo,fazer,vai,fcporto,ir,nada,tao,vitoria,dia
nos,2014-04-12,sobre,coelho,doce,tao,futebol,dizer,porque,nada,jogo,paulo
inglaterra,2015-10-11,governo,santo,hoje,diario,joao,jornal,rui,agora,paulo,melhor
iker_casillas,2014-11-26,espirito,doce,bento,costa,melhor,desporto,ainda,futebol,antonio,amp
dn,2015-06-29,ps,costa,la,diario,quer,melhor,mendes,cristiano,joao,noticias
italia,2015-05-02,silva,jorge,benfica,real,porto,en,dia,ver,jesus,governo
jorge_mendes,2014-04-16,pais,ainda,jornal,presidente,video,sporting,sousa,doce,costa,grande
passos_coelho,2014-04-09,jose,ver,porto,video,amp,jeronimo,real,futebol,presidente,mendes
acores,2015-10-05,tao,pinto,pais,porto,presidente,quer,antonio,benfica,hoje,noticias
jeronimo_sousa,2015-09-28,ver,el,martins,porto,desporto,bento,pinto,ainda,paulo,del
nos,2014-06-07,espirito,real,antonio,fcporto,noticias,tao,amp,es,diario,jeronimo
cavaco_silva,2015-04-21,bem,vitoria,portas,joao,vou,catarina,cristiano,ver,carvalho,aqui
vladimir_putin,2015-05-22,agora,rui,anos,mundo,costa,diario,vez,fcportoworld,cristiano,mendes
luis_figo,2014-08-23,espirito,porto,dia,mendes,melhor,marcelo,ano,santo,aqui,vitoria
sic,2014-05-20,portas,aqui,paulo,agora,antonio,la,mendes,passos,jorge,pais
paulo_bento,2015-03-03,mendes,vez,silva,costa,del,nada,jesus,novo,bruno,es
jose_mourinho,2015-05-02,jogo,passos,martins,porto,cristiano,sobre,costa,pingo,vai,vitoria
partido_comunista,2014-07-24,porque,vai,nada,la,amp,rebelo,en,mendes,fcporto,catarina
publico,2015-09-15,fazer,pode,en,antonio,fcporto,anos,governo,doce,melhor,bruno
antonio_costa,2014-08-26,noticias,pinto,sporting,ver,lisboa,antonio,tao,jesus,aqui,sousa
alemanha,2014-07-12,fcportoworld,pais,vai,espirito,pode,presidente,futebol,desporto,antonio,vitoria
futebol_porto,2014-02-14,fazer,marcelo,jeronimo,passos,nada,antonio,ainda,video,mendes,vez
julen_lopetegui,2014-05-11,portas,tao,portugal,la,novo,del,pode,mendes,desporto,antonio
sporting,2014-07-04,rebelo,silva,mendes,jorge,bruno,governo,el,quer,pingo,paulo
futebol_porto,2015-08-08,diario,hoje,doce,fazer,vai,bruno,sobre,fcportoworld,jornal,noticias
espanha,2014-07-03,es,vez,hoje,doce,sobre,diz,en,dia,mendes,governo
jorge_jesus,2014-02-02,paulo,diz,vitoria,aqui,marcelo,rui,porque,novo,jeronimo,tudo
acores,2014-07-11,rui,espirito,melhor,contra,carregabenfica,diz,todos,portugal,cristiano,benfica
futebol_porto,2015-05-29,melhor,sporting,pinto,cristiano,ps,bruno,paulo,doce,joao,fazer
barack_obama,2014-10-31,martins,catarina,fcporto,real,dia,coelho,hoje,el,diario,ver
lionel_messi,2015-05-09,tudo,vitoria,contra,espirito,vou,dizer,jornal,rui,desporto,lisboa
jose_socrates,2015-03-15,pais,melhor,jesus,rebelo,futebol,en,el,ir,la,ps
passos_coelho,2014-01-27,fcportoworld,noticias,catarina,sobre,coelho,pingo,ronaldo,aqui,hoje,costa
